month,total_loans,total_loans_business,total_loans_consumer
2004-03,293816.4,195720,98096.1
2004-04,295409,196774.5,98634.3
2004-05,298744.2,199022.1,99722.4
2004-06,300945.9,199974.2,100971.5
2004-07,303484,202125,101358.6
2004-08,307157.9,204586.1,102571.8
2004-09,305887.8,202489.4,103398.2
2004-10,308808.8,205231.8,103577.1
2004-11,311607.4,207817.9,103789.6
2004-12,312821.9,208589.1,104232.8
2005-01,313487.2,208137.4,105349.9
2005-02,312352.8,207506,104846.7
2005-03,311647.6,205819.6,105828.1
2005-04,316242.6,209585.5,106657
2005-05,319081,211696,107385
2005-06,323291,215594.7,107696.4
2005-07,322161.7,215423.5,106738.2
2005-08,328967.1,221537.8,107429.1
2005-09,331973.8,223982.7,107991
2005-10,332386.9,223918.6,108468.2
2005-11,352971.7,243345.3,109626.5
2005-12,357149.1,247525.9,109623.5
2006-01,353612.1,244419.8,109192.3
2006-02,355705.5,246357.8,109347.8
2006-03,346493.4,237418.3,109075.3
2006-04,358706.8,249677,109029.5
2006-05,366617.3,256704.2,109913
2006-06,369857.7,259972.3,109885.5
2006-07,372792.4,262997,109795.4
2006-08,373181.7,263348.3,109833.3
2006-09,377293.6,267117.8,110175.8
2006-10,380367,270489.1,109878.1
2006-11,387622.7,276615.7,111007.1
2006-12,380221,269162.2,111058.8
2007-01,383810.4,272562.5,111247.8
2007-02,390473.1,278520.6,111952.6
2007-03,398472.9,285493.8,112979
2007-04,403733.7,289187.8,114546
2007-05,418024.2,302907.2,115116.9
2007-06,429800,312017.3,117783
2007-07,434019.2,314869.4,119149.9
2007-08,447157.4,326150.9,121006.3
2007-09,458090.4,333633.1,124457.3
2007-10,461573.6,335093.8,126479.6
2007-11,473609.6,344694.2,128915.5
2007-12,489865.9,361621.7,128244.5
2008-01,497961.4,368501.6,129459.8
2008-02,512545.7,374175.4,138370.3
2008-03,530995.1,390848.9,140146.3
2008-04,535024.2,395918.2,139105.8
2008-05,545436.5,403428.9,142007.6
2008-06,561313,415641.9,145671.2
2008-07,573916.1,426964.3,146951.6
2008-08,585966.7,437023.6,148943
2008-09,593357.5,443103.9,150253.5
2008-10,590038.3,444033.1,146005.2
2008-11,577670.2,433297.3,144373
2008-12,558268.7,414789.3,143479.2
2009-01,566982.4,422762,144220.6
2009-02,566541.5,422731.6,143810.1
2009-03,558623.1,415291.5,143331.9
2009-04,550122.9,407855.9,142267.4
2009-05,550318.3,407063.7,143254.7
2009-06,553555,407560,145994.9
2009-07,551385,404113.7,147271.3
2009-08,555609.7,406852.8,148757
2009-09,553900.2,403610.4,150289.5
2009-10,550049.6,397629,152420.4
2009-11,559165.4,404675.7,154489.4
2009-12,564960.7,409450.2,155510.6
2010-01,569667.6,412698.1,156969.6
2010-02,573793.7,415480.9,158312.8
2010-03,580768.4,421627.4,159141.1
2010-04,585243.1,425165.3,160077.7
2010-05,597600.9,434218.2,163382.9
2010-06,616059.6,449302.3,166757.3
2010-07,614488.9,444880.9,169608
2010-08,617646.7,445670.9,171976
2010-09,619893.3,445330.5,174563
2010-10,625538,447792.6,177745.4
2010-11,637828.7,457140.4,180688.3
2010-12,641055.8,458534.6,182521.2
2011-01,656548.8,473620.7,182928.2
2011-02,663660.4,479025,184635.5
2011-03,674217.6,487363.3,186854.1
2011-04,680163.1,491646.5,188516.6
2011-05,695729.5,503863.7,191865.5
2011-06,707152.9,512462,194690.8
2011-07,719221.5,522428.2,196793.3
2011-08,737629.7,538272.5,199357.1
2011-09,777712.1,573923.1,203789
2011-10,763796.1,560967.8,202828.1
2011-11,788361.1,581718.7,206642.6
2011-12,796447.2,584824.4,211622.7
2012-01,787313.5,574823.4,212489.9
2012-02,796810.5,583184.7,213625.8
2012-03,809866.4,593294.9,216571.5
2012-04,807458.1,589328.7,218129.5
2012-05,829376,607821.3,221554.9
2012-06,837481.5,613382.5,224099.1
2012-07,836723.3,609453.2,227270
2012-08,852322,621959.3,230362.7
2012-09,852968.4,619908.4,233059.9
2012-10,860873.6,624248,236625.5
2012-11,866807,626906.3,239900.7
2012-12,879193.3,637176.4,242016.9
2013-01,905815.5,660368.3,245447.3
2013-02,916896.9,669980.9,246915.9
2013-03,933822.2,684507.4,249315
2013-04,940124.2,689650.3,250473.8
2013-05,960483.9,707055,253428.7
2013-06,963923.1,708444.4,255478.7
2013-07,972573.2,715625.8,256947.2
2013-08,979777.4,721030.2,258747.1
2013-09,992822.8,730989.6,261833.2
2013-10,1002791.5,736474.5,266316.9
2013-11,1034642.1,763001.6,271640.5
2013-12,1052149.7,779096.8,273053
2014-01,1070639.7,795370.9,275269
2014-02,1080737.2,804138.9,276598.4
2014-03,1095777.3,814049,281728.2
2014-04,1103553.3,820361.4,283192
2014-05,1113250.8,828846.1,284404.8
2014-06,1122718.7,836092.5,286626.3
2014-07,1121789.2,833971.4,287817.8
2014-08,1125901.4,836880,289021.3
2014-09,1131843.6,840663.7,291179.7
2014-10,1132664.3,840755.8,291908.7
2014-11,1148017.7,854424.3,293593.2
2014-12,1148900.8,853695,295205.7
2015-01,1161121.2,863537.1,297584.2
2015-02,1161637.4,863255.1,298382.4
2015-03,1169159.1,869670.5,299488.3
2015-04,1143509.7,847142,296367.8
2015-05,1152705.7,855213.4,297492.1
2015-06,1161327.6,860843.1,300484.6
2015-07,1171788.1,869535.7,302252.6
2015-08,1188388,884782.4,303605.8
